project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
Prius,"Wagon 3",23,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 3",24,"Get From",41,,,21850,TRUE
Prius,"Wagon 3",25,"Put On",42,,,20700,TRUE
Prius,"Wagon 3",26,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 3",27,"Get From",42,,,20700,TRUE
Prius,"Wagon 3",28,"Put On",43,,,19550,TRUE
Prius,"Wagon 3",29,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 3",30,"Get From",43,,,19550,TRUE
Prius,"Wagon 3",31,"Put On",44,,,18400,TRUE
Prius,"Wagon 3",32,"Put On",31,,,33350,TRUE
Prius,"Wagon 4",1,"Get From",52,,,9200,TRUE
Prius,"Wagon 4",2,"Put On",53,,,8050,TRUE
Prius,"Wagon 4",3,"Get From",44,,,18400,TRUE
Prius,"Wagon 4",4,"Put On",45,,,17250,TRUE
Prius,"Wagon 4",5,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 4",6,"Get From",45,,,17250,TRUE
Prius,"Wagon 4",7,"Put On",46,,,16100,TRUE
Prius,"Wagon 4",8,"Get From",53,,,8050,TRUE
Prius,"Wagon 4",9,"Put On",55,,,5750,TRUE
Prius,"Wagon 4",10,"Get From",57,,Medium,3450,TRUE
Prius,"Wagon 4",11,"Put On",58,,Medium,2300,TRUE
Prius,"Wagon 4",12,"Get From",55,,,5750,TRUE
Prius,"Wagon 4",13,"Put On",57,,Medium,3450,TRUE
Prius,"Wagon 4",14,"Get From",58,,Medium,2300,TRUE
Prius,"Wagon 4",15,"Put On",59,,Low,1150,TRUE
Prius,"Wagon 4",16,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 4",17,"Get From",59,,Low,1150,TRUE
Prius,"Wagon 4",18,"Put On",60,,Medium,0,TRUE
Prius,"Wagon 4",19,"Get From",46,,,16100,TRUE
Prius,"Wagon 4",20,"Put On",47,,,14950,TRUE
