seq_id,project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
5,8,Wagon 1,1,Get From,1,0,High,0,TRUE
5,8,Wagon 1,2,Put On,2,0,High,0,TRUE
5,8,Wagon 1,3,Wait For Int,1,0,High,0,TRUE
5,8,Wagon 1,4,Get From,6,0,High,0,TRUE
5,8,Wagon 1,7,Wait For Int,3,0,High,0,TRUE
5,8,Wagon 1,11,Get From,6,0,High,0,TRUE
5,8,Wagon 1,5,Set Int,2,0,High,0,TRUE
5,8,Wagon 1,6,Put On,1,0,High,0,TRUE
5,8,Wagon 1,8,Get From,5,0,High,0,TRUE
5,8,Wagon 1,9,Put On,6,0,High,0,TRUE
5,8,Wagon 1,10,Wait For Sec,30,0,,0,TRUE
5,8,Wagon 1,13,Put On,7,0,Low,0,TRUE
5,8,Wagon 1,16,Put On,5,0,High,0,TRUE
5,8,Wagon 1,17,Set Int,4,0,High,0,TRUE
5,8,Wagon 1,20,Put On,4,0,High,0,TRUE
5,8,Wagon 1,23,Put On,3,0,High,0,TRUE
5,8,Wagon 1,24,Put On,2,0,High,0,TRUE
5,8,Wagon 1,12,Wait For Sec,5,0,High,0,TRUE
5,8,Wagon 1,14,Get From,4,0,High,0,TRUE
5,8,Wagon 1,15,Wait For Sec,5,0,High,0,TRUE
5,8,Wagon 1,18,Get From,3,0,High,0,TRUE
5,8,Wagon 1,19,Wait For Sec,5,0,High,0,TRUE
5,8,Wagon 1,21,Get From,2,0,High,0,TRUE
5,8,Wagon 1,22,Wait For Sec,5,0,High,0,TRUE
6,6,Wagon 1,1,Get From,14,,,16100,TRUE
6,6,Wagon 1,2,Put On,18,,,20700,TRUE
6,6,Wagon 1,3,Get From,1,,High,1150,TRUE
6,6,Wagon 1,4,Put On,2,,High,2300,TRUE
6,6,Wagon 1,5,Get From,10,,Low,11500,TRUE
6,6,Wagon 1,6,Put On,11,,Low,12650,TRUE
6,6,Wagon 1,7,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 1,8,Get From,11,,Low,12650,TRUE
6,6,Wagon 1,9,Put On,12,,,13800,TRUE
6,6,Wagon 1,10,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 1,11,Get From,12,,,13800,TRUE
6,6,Wagon 1,12,Put On,13,,,14950,TRUE
6,6,Wagon 1,13,Get From,3,,High,3450,TRUE
6,6,Wagon 1,14,Put On,5,,High,5750,TRUE
6,6,Wagon 1,15,Get From,2,,High,2300,TRUE
6,6,Wagon 1,16,Put On,3,,High,3450,TRUE
6,6,Wagon 1,17,Get From,5,,High,5750,TRUE
6,6,Wagon 1,18,Put On,6,,High,6900,TRUE
6,6,Wagon 1,19,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 1,20,Get From,6,,High,6900,TRUE
6,6,Wagon 1,21,Put On,7,,Low,8050,TRUE
6,6,Wagon 1,22,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 1,23,Get From,7,,Low,8050,TRUE
6,6,Wagon 1,24,Put On,8,,High,9200,TRUE
6,6,Wagon 1,25,Get From,13,,,14950,TRUE
6,6,Wagon 1,26,Put On,9,,High,10350,TRUE
6,6,Wagon 1,27,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 1,28,Get From,9,,High,10350,TRUE
6,6,Wagon 1,29,Put On,10,,Low,11500,TRUE
6,6,Wagon 2,1,Get From,26,,,29900,TRUE
6,6,Wagon 2,2,Put On,28,,,32200,TRUE
6,6,Wagon 2,3,Get From,25,,,28750,TRUE
6,6,Wagon 2,4,Put On,26,,,29900,TRUE
6,6,Wagon 2,5,Get From,28,,,32200,TRUE
6,6,Wagon 2,6,Put On,29,,,33350,TRUE
6,6,Wagon 2,7,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 2,8,Get From,29,,,33350,TRUE
6,6,Wagon 2,9,Put On,30,,,34500,TRUE
6,6,Wagon 2,9,Put On,30,,,34500,TRUE
6,6,Wagon 2,10,Get From,18,,,20700,TRUE
6,6,Wagon 2,11,Put On,19,,Low,21850,TRUE
6,6,Wagon 2,12,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 2,13,Get From,19,,Low,21850,TRUE
6,6,Wagon 2,14,Put On,20,,Low,23000,TRUE
6,6,Wagon 2,15,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 2,16,Get From,20,,Low,23000,TRUE
6,6,Wagon 2,17,Put On,21,,Low,24150,TRUE
6,6,Wagon 2,18,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 2,19,Get From,21,,Low,24150,TRUE
6,6,Wagon 2,20,Put On,22,,,25300,TRUE
6,6,Wagon 2,21,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 2,22,Get From,22,,,25300,TRUE
6,6,Wagon 2,23,Put On,25,,,28750,TRUE
6,6,Wagon 3,1,Get From,30,,,34500,TRUE
6,6,Wagon 3,1,Get From,30,,,34500,TRUE
6,6,Wagon 3,2,Put On,32,,,32200,TRUE
6,6,Wagon 3,3,Get From,36,,,27600,TRUE
6,6,Wagon 3,4,Put On,37,,,26450,TRUE
6,6,Wagon 3,5,Get From,32,,,32200,TRUE
6,6,Wagon 3,6,Put On,33,,,31050,TRUE
6,6,Wagon 3,7,Get From,37,,,26450,TRUE
6,6,Wagon 3,8,Put On,38,,,25300,TRUE
6,6,Wagon 3,9,Get From,33,,,31050,TRUE
6,6,Wagon 3,10,Put On,34,,,29900,TRUE
6,6,Wagon 3,11,Get From,35,,,28750,TRUE
6,6,Wagon 3,12,Put On,36,,,27600,TRUE
6,6,Wagon 3,13,Get From,34,,,29900,TRUE
6,6,Wagon 3,14,Put On,35,,,28750,TRUE
6,6,Wagon 3,15,Get From,38,,,25300,TRUE
6,6,Wagon 3,16,Put On,39,,,24150,TRUE
6,6,Wagon 3,17,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 3,18,Get From,39,,,24150,TRUE
6,6,Wagon 3,19,Put On,40,,,23000,TRUE
6,6,Wagon 3,20,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 3,21,Get From,40,,,23000,TRUE
6,6,Wagon 3,22,Put On,41,,,21850,TRUE
6,6,Wagon 3,23,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 3,24,Get From,41,,,21850,TRUE
6,6,Wagon 3,25,Put On,42,,,20700,TRUE
6,6,Wagon 3,26,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 3,27,Get From,42,,,20700,TRUE
6,6,Wagon 3,28,Put On,43,,,19550,TRUE
6,6,Wagon 3,29,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 3,30,Get From,43,,,19550,TRUE
6,6,Wagon 3,31,Put On,44,,,18400,TRUE
6,6,Wagon 3,32,Put On,31,,,33350,TRUE
6,6,Wagon 4,1,Get From,52,,,9200,TRUE
6,6,Wagon 4,2,Put On,53,,,8050,TRUE
6,6,Wagon 4,3,Get From,44,,,18400,TRUE
6,6,Wagon 4,4,Put On,45,,,17250,TRUE
6,6,Wagon 4,5,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 4,6,Get From,45,,,17250,TRUE
6,6,Wagon 4,7,Put On,46,,,16100,TRUE
6,6,Wagon 4,8,Get From,53,,,8050,TRUE
6,6,Wagon 4,9,Put On,55,,,5750,TRUE
6,6,Wagon 4,10,Get From,57,,Medium,3450,TRUE
6,6,Wagon 4,11,Put On,58,,Medium,2300,TRUE
6,6,Wagon 4,12,Get From,55,,,5750,TRUE
6,6,Wagon 4,13,Put On,57,,Medium,3450,TRUE
6,6,Wagon 4,14,Get From,58,,Medium,2300,TRUE
6,6,Wagon 4,15,Put On,59,,Low,1150,TRUE
6,6,Wagon 4,16,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 4,17,Get From,59,,Low,1150,TRUE
6,6,Wagon 4,18,Put On,60,,Medium,0,TRUE
6,6,Wagon 4,19,Get From,46,,,16100,TRUE
6,6,Wagon 4,20,Put On,47,,,14950,TRUE
6,6,Wagon 4,21,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 4,22,Get From,47,,,14950,TRUE
6,6,Wagon 4,23,Put On,48,,,13800,TRUE
6,6,Wagon 4,24,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 4,25,Get From,48,,,13800,TRUE
